;tr0
a0;22:06 18.02
a1;22:59 18.02
a2;00:03 19.02
a3;00:30 19.02
a4;00:46 19.02
a5;01:23 19.02
a6;02:17 19.02
a7;03:05 19.02
a8;03:21 19.02
a9;04:14 19.02
a10;04:30 19.02
a11;05:12 19.02
a12;06:16 19.02
a13;06:54 19.02
a14;07:42 19.02
a15;08:03 19.02
a16;08:56 19.02
a17;09:12 19.02
a18;09:39 19.02
a19;10:11 19.02
a20;11:10 19.02
a21;12:14 19.02
a22;13:07 19.02
a23;14:00 19.02
a24;14:48 19.02
a25;15:04 19.02
a26;15:41 19.02
a27;16:08 19.02
a28;17:01 19.02
a29;17:17 19.02
a30;18:21 19.02
a31;18:48 19.02
a32;19:25 19.02
a33;20:24 19.02
a34;20:45 19.02
a35;21:38 19.02
a36;21:54 19.02
a37;22:53 19.02
a38;23:09 19.02
a39;23:46 19.02


;tr1
a20;19:53 18.02
a21;20:57 18.02
a22;21:50 18.02
a23;22:43 18.02
a24;23:31 18.02
a25;23:47 18.02
a26;00:25 19.02
a27;00:51 19.02
a28;01:45 19.02
a29;02:01 19.02
a30;03:05 19.02
a31;03:31 19.02
a32;04:08 19.02
a33;05:07 19.02
a34;05:28 19.02
a35;06:22 19.02
a36;06:38 19.02
a37;07:36 19.02
a38;07:52 19.02
a39;08:30 19.02
a40;09:34 19.02
a41;09:55 19.02
a42;10:38 19.02
a43;11:20 19.02
a44;11:47 19.02
a45;12:35 19.02
a46;12:51 19.02
a47;13:33 19.02
a48;14:05 19.02
a49;14:32 19.02


;tr10
d20;19:53 18.02
d21;20:30 18.02
d22;21:18 18.02
d23;21:50 18.02
d24;22:33 18.02
d25;23:21 18.02
d26;23:53 18.02
d27;00:30 19.02
d28;00:57 19.02
d29;01:13 19.02
d30;01:55 19.02
d31;02:27 19.02
d32;03:26 19.02
d33;04:19 19.02
d34;04:56 19.02
d35;05:23 19.02
d36;06:00 19.02
d37;06:16 19.02
d38;06:38 19.02
d39;06:59 19.02
d40;07:31 19.02
d41;08:08 19.02
d42;08:40 19.02
d43;09:02 19.02
d44;09:34 19.02
d45;09:50 19.02
d46;10:48 19.02
d47;11:31 19.02
d48;12:24 19.02
d49;13:12 19.02


;tr11
d0;20:19 18.02
d1;21:07 18.02
d2;21:23 18.02
d3;21:55 18.02
d4;22:49 18.02
d5;23:26 18.02
d6;00:03 19.02
d7;01:07 19.02
d8;01:50 19.02
d9;02:49 19.02
d10;03:10 19.02
d11;04:14 19.02


;tr12
a0;22:59 18.02
a1;23:53 18.02
a2;00:57 19.02
a3;01:23 19.02
a4;01:39 19.02
a5;02:17 19.02
a6;03:10 19.02
a7;03:58 19.02
a8;04:14 19.02
a9;05:07 19.02
a10;05:23 19.02
b0;06:06 19.02
b1;07:10 19.02
b2;07:58 19.02
b3;08:51 19.02
b4;09:12 19.02
b5;09:34 19.02
b6;10:11 19.02
b7;11:04 19.02
b8;11:20 19.02
b9;11:36 19.02


;tr13
a0;22:33 18.02
a1;23:26 18.02
a2;00:30 19.02
a3;00:57 19.02
a4;01:13 19.02
a5;01:50 19.02
a6;02:43 19.02
a7;03:31 19.02
a8;03:47 19.02
a9;04:40 19.02
a10;04:56 19.02
a11;05:39 19.02
a12;06:43 19.02
a13;07:20 19.02
a14;08:08 19.02
a15;08:30 19.02
a16;09:23 19.02
a17;09:39 19.02
a18;10:06 19.02
a19;10:38 19.02
a20;11:36 19.02
c0;12:40 19.02
c1;13:44 19.02
c2;14:00 19.02
c3;14:48 19.02
c4;15:41 19.02
c5;16:03 19.02
c6;16:24 19.02


;tr14
a0;19:53 18.02
a1;20:46 18.02
a2;21:50 18.02
a3;22:17 18.02
a4;22:33 18.02
a5;23:10 18.02
a6;00:03 19.02
a7;00:51 19.02
a8;01:07 19.02
a9;02:01 19.02
a10;02:17 19.02
a11;02:59 19.02
a12;04:03 19.02
a13;04:40 19.02
a14;05:28 19.02
a15;05:50 19.02
a16;06:43 19.02
a17;06:59 19.02
a18;07:26 19.02
a19;07:58 19.02
a20;08:56 19.02
a21;10:00 19.02
a22;10:54 19.02
a23;11:47 19.02
a24;12:35 19.02
a25;12:51 19.02
a26;13:28 19.02
a27;13:55 19.02
a28;14:48 19.02
a29;15:04 19.02
a30;16:08 19.02
a31;16:35 19.02
a32;17:12 19.02
a33;18:11 19.02
a34;18:32 19.02
a35;19:25 19.02
a36;19:41 19.02
a37;20:40 19.02
a38;20:56 19.02
a39;21:33 19.02
a40;22:37 19.02
d0;23:30 19.02
d1;00:18 20.02
d2;00:34 20.02
d3;01:06 20.02
d4;02:00 20.02
d5;02:37 20.02
d6;03:14 20.02
d7;04:18 20.02
d8;05:01 20.02
d9;06:00 20.02
d10;06:21 20.02
d11;07:25 20.02
d12;08:18 20.02
d13;08:34 20.02
d14;09:11 20.02


;tr15
a0;19:26 18.02
a1;20:19 18.02
a2;21:23 18.02
a3;21:50 18.02
a4;22:06 18.02
a5;22:43 18.02
a6;23:37 18.02
a7;00:25 19.02
a8;00:41 19.02
a9;01:34 19.02
a10;01:50 19.02
a11;02:33 19.02
a12;03:37 19.02
a13;04:14 19.02
a14;05:02 19.02
a15;05:23 19.02
a16;06:16 19.02
a17;06:32 19.02
a18;06:59 19.02
a19;07:31 19.02
a20;08:30 19.02
a21;09:34 19.02
a22;10:27 19.02
a23;11:20 19.02
a24;12:08 19.02
a25;12:24 19.02
a26;13:01 19.02
a27;13:28 19.02
a28;14:21 19.02
a29;14:37 19.02
a30;15:41 19.02
a31;16:08 19.02
a32;16:45 19.02
a33;17:44 19.02
a34;18:05 19.02
a35;18:59 19.02
a36;19:15 19.02
a37;20:13 19.02
a38;20:29 19.02
a39;21:07 19.02
a40;22:10 19.02
a41;22:32 19.02
a42;23:14 19.02
a43;23:57 19.02
a44;00:24 20.02
a45;01:12 20.02
a46;01:28 20.02
a47;02:10 20.02
a48;02:42 20.02
a49;03:09 20.02
a50;03:25 20.02
a51;04:29 20.02
a52;05:01 20.02
a53;05:22 20.02
a54;06:10 20.02
a55;06:37 20.02
a56;06:53 20.02
a57;07:30 20.02
a58;07:57 20.02
a59;08:39 20.02
a60;09:38 20.02
e0;10:26 20.02
e1;10:47 20.02
e2;11:03 20.02
e3;12:02 20.02
e4;13:06 20.02
e5;13:59 20.02
e6;14:15 20.02
e7;14:37 20.02
e8;14:58 20.02
e9;15:40 20.02


;tr16
b10;20:03 18.02
b9;20:51 18.02
b8;21:07 18.02
b7;21:23 18.02
b6;22:17 18.02
b5;22:54 18.02
b4;23:15 18.02
b3;23:37 18.02
b2;00:30 19.02
b1;01:18 19.02
b0;02:22 19.02
a10;03:05 19.02
a11;03:47 19.02
a12;04:51 19.02
a13;05:28 19.02
a14;06:16 19.02
a15;06:38 19.02
a16;07:31 19.02
a17;07:47 19.02
a18;08:14 19.02
a19;08:46 19.02
a20;09:44 19.02
a21;10:48 19.02
a22;11:42 19.02
a23;12:35 19.02
a24;13:23 19.02
a25;13:39 19.02
a26;14:16 19.02
a27;14:43 19.02
a28;15:36 19.02
a29;15:52 19.02
a30;16:56 19.02
a31;17:23 19.02
a32;18:00 19.02
a33;18:59 19.02
a34;19:20 19.02
a35;20:13 19.02
a36;20:29 19.02
a37;21:28 19.02
a38;21:44 19.02
a39;22:21 19.02
a40;23:25 19.02
d0;00:18 20.02
d1;01:06 20.02
d2;01:22 20.02
d3;01:54 20.02
d4;02:48 20.02


;tr17
a0;21:39 18.02
a1;22:33 18.02
a2;23:37 18.02
a3;00:03 19.02
a4;00:19 19.02
a5;00:57 19.02
a6;01:50 19.02
a7;02:38 19.02
a8;02:54 19.02
a9;03:47 19.02
a10;04:03 19.02
a11;04:46 19.02
a12;05:50 19.02
a13;06:27 19.02
a14;07:15 19.02
a15;07:36 19.02
a16;08:30 19.02
a17;08:46 19.02
a18;09:12 19.02
a19;09:44 19.02
a20;10:43 19.02
a21;11:47 19.02
a22;12:40 19.02
a23;13:33 19.02
a24;14:21 19.02
a25;14:37 19.02
a26;15:15 19.02
a27;15:41 19.02
a28;16:35 19.02
a29;16:51 19.02
a30;17:55 19.02
a31;18:21 19.02
a32;18:59 19.02
a33;19:57 19.02
a34;20:19 19.02
a35;21:12 19.02
a36;21:28 19.02
a37;22:26 19.02
a38;22:42 19.02
a39;23:20 19.02


;tr18
a20;19:26 18.02
a21;20:30 18.02
a22;21:23 18.02
a23;22:17 18.02
a24;23:05 18.02
a25;23:21 18.02
a26;23:58 18.02
a27;00:25 19.02
a28;01:18 19.02
a29;01:34 19.02
a30;02:38 19.02
a31;03:05 19.02
a32;03:42 19.02
a33;04:40 19.02
a34;05:02 19.02
a35;05:55 19.02
a36;06:11 19.02
a37;07:10 19.02
a38;07:26 19.02
a39;08:03 19.02
a40;09:07 19.02
a41;09:28 19.02
a42;10:11 19.02
a43;10:54 19.02
a44;11:20 19.02
a45;12:08 19.02
a46;12:24 19.02
a47;13:07 19.02
a48;13:39 19.02
a49;14:05 19.02


;tr19
a30;19:53 18.02
a31;20:19 18.02
a32;20:57 18.02
a33;21:55 18.02
a34;22:17 18.02
a35;23:10 18.02
a36;23:26 18.02
a37;00:25 19.02
a38;00:41 19.02
a39;01:18 19.02
a40;02:22 19.02
a41;02:43 19.02
a42;03:26 19.02
a43;04:08 19.02
a44;04:35 19.02
a45;05:23 19.02
a46;05:39 19.02
a47;06:22 19.02
a48;06:54 19.02
a49;07:20 19.02
a50;07:36 19.02
a51;08:40 19.02
a52;09:12 19.02
a53;09:34 19.02
a54;10:22 19.02
a55;10:48 19.02
a56;11:04 19.02
a57;11:42 19.02
a58;12:08 19.02
a59;12:51 19.02
a60;13:49 19.02
a61;14:27 19.02
a62;15:15 19.02
a63;15:57 19.02
a64;16:35 19.02
a65;17:07 19.02
a66;17:33 19.02
a67;18:05 19.02
a68;18:21 19.02
a69;19:15 19.02


;tr2
a30;19:26 18.02
a31;19:53 18.02
a32;20:30 18.02
a33;21:29 18.02
a34;21:50 18.02
a35;22:43 18.02
a36;22:59 18.02
a37;23:58 18.02
a38;00:14 19.02
a39;00:51 19.02
