;tr0
a32;19.02.2016 23:02
a33;19.02.2016 23:24
a34;20.02.2016 0:28
a35;20.02.2016 0:59
a36;20.02.2016 1:31
a37;20.02.2016 2:25
a38;20.02.2016 3:07
a39;20.02.2016 4:06
a40;20.02.2016 4:27
d0;20.02.2016 5:10
d1;20.02.2016 5:31
d2;20.02.2016 6:09
d3;20.02.2016 7:07
d4;20.02.2016 8:01
;
;
;tr17
a0;19.02.2016 7:24
a1;19.02.2016 7:56
a2;19.02.2016 8:44
a3;19.02.2016 9:48
a4;19.02.2016 10:09
a5;19.02.2016 11:08
a6;19.02.2016 11:40
a7;19.02.2016 12:28
a8;19.02.2016 13:00
a9;19.02.2016 13:59
a10;19.02.2016 15:03
a11;19.02.2016 15:29
a12;19.02.2016 16:06
a13;19.02.2016 16:49
a14;19.02.2016 17:10
a15;19.02.2016 17:53
a16;19.02.2016 18:09
a17;19.02.2016 18:41
a18;19.02.2016 19:29
a19;19.02.2016 19:56
a20;19.02.2016 20:44
a21;19.02.2016 21:42
a22;19.02.2016 22:14
a23;19.02.2016 22:30
a24;19.02.2016 23:13
a25;19.02.2016 23:40
a26;20.02.2016 0:17
a27;20.02.2016 0:38
a28;20.02.2016 0:54
a29;20.02.2016 1:37
a30;20.02.2016 2:35
a31;20.02.2016 3:23
a32;20.02.2016 3:55
a33;20.02.2016 4:17
a34;20.02.2016 5:21
a35;20.02.2016 5:53
a36;20.02.2016 6:25
a37;20.02.2016 7:18
a38;20.02.2016 8:01
a39;20.02.2016 8:59
;
;
;tr18
a20;18.02.2016 20:45
a21;18.02.2016 21:43
a22;18.02.2016 22:15
a23;18.02.2016 22:31
a24;18.02.2016 23:14
a25;18.02.2016 23:40
a26;19.02.2016 0:18
a27;19.02.2016 0:39
a28;19.02.2016 0:55
a29;19.02.2016 1:38
a30;19.02.2016 2:36
a31;19.02.2016 3:24
a32;19.02.2016 3:56
a33;19.02.2016 4:18
a34;19.02.2016 5:22
a35;19.02.2016 5:54
a36;19.02.2016 6:26
a37;19.02.2016 7:19
a38;19.02.2016 8:01
a39;19.02.2016 9:00
a40;19.02.2016 9:21
a41;19.02.2016 9:43
a42;19.02.2016 10:47
a43;19.02.2016 11:35
a44;19.02.2016 11:51
a45;19.02.2016 12:49
a46;19.02.2016 13:43
a47;19.02.2016 14:20
a48;19.02.2016 15:08
a49;19.02.2016 15:35
;
;
;tr19
a30;18.02.2016 20:18
a31;18.02.2016 21:06
a32;18.02.2016 21:38
a33;18.02.2016 21:59
a34;18.02.2016 23:03
a35;18.02.2016 23:35
a36;19.02.2016 0:07
a37;19.02.2016 1:00
a38;19.02.2016 1:43
a39;19.02.2016 2:42
a40;19.02.2016 3:03
a41;19.02.2016 3:24
a42;19.02.2016 4:28
a43;19.02.2016 5:16
a44;19.02.2016 5:32
a45;19.02.2016 6:31
a46;19.02.2016 7:24
a47;19.02.2016 8:01
a48;19.02.2016 8:49
a49;19.02.2016 9:16
a50;19.02.2016 10:15
a51;19.02.2016 10:47
a52;19.02.2016 11:13
a53;19.02.2016 11:29
a54;19.02.2016 11:51
a55;19.02.2016 12:44
a56;19.02.2016 13:16
a57;19.02.2016 14:15
a58;19.02.2016 15:19
a59;19.02.2016 16:06
a60;19.02.2016 17:00
a61;19.02.2016 17:32
a62;19.02.2016 18:20
a63;19.02.2016 19:08
a64;19.02.2016 20:12
a65;19.02.2016 20:49
a66;19.02.2016 21:37
a67;19.02.2016 22:09
a68;19.02.2016 22:36
a69;19.02.2016 23:02
;
;
;tr2
a30;18.02.2016 21:11
a31;18.02.2016 21:59
a32;18.02.2016 22:31
a33;18.02.2016 22:52
a34;18.02.2016 23:56
a35;19.02.2016 0:28
a36;19.02.2016 1:00
a37;19.02.2016 1:54
a38;19.02.2016 2:36
a39;19.02.2016 3:35
a40;19.02.2016 3:56
a41;19.02.2016 4:18
a42;19.02.2016 5:22
a43;19.02.2016 6:10
a44;19.02.2016 6:26
a45;19.02.2016 7:24
a46;19.02.2016 8:17
a47;19.02.2016 8:55
a48;19.02.2016 9:43
a49;19.02.2016 10:09
a50;19.02.2016 11:08
a51;19.02.2016 11:40
a52;19.02.2016 12:07
a53;19.02.2016 12:23
a54;19.02.2016 12:44
a55;19.02.2016 13:37
a56;19.02.2016 14:09
a57;19.02.2016 15:08
a58;19.02.2016 16:12
a59;19.02.2016 17:00
a60;19.02.2016 17:53
a61;19.02.2016 18:25
a62;19.02.2016 19:13
a63;19.02.2016 20:01
a64;19.02.2016 21:05
a65;19.02.2016 21:42
a66;19.02.2016 22:30
a67;19.02.2016 23:02
a68;19.02.2016 23:29
a69;19.02.2016 23:56
;
;
;tr20
b0;18.02.2016 20:18
b1;18.02.2016 21:11
b2;18.02.2016 21:33
b3;18.02.2016 22:10
b4;18.02.2016 23:03
b5;19.02.2016 0:07
b6;19.02.2016 0:34
b7;19.02.2016 1:00
b8;19.02.2016 1:59
b9;19.02.2016 2:42
b10;19.02.2016 3:24
b11;19.02.2016 4:23
b12;19.02.2016 4:44
b13;19.02.2016 5:16
b14;19.02.2016 5:48
b15;19.02.2016 6:15
b16;19.02.2016 6:42
b17;19.02.2016 7:08
b18;19.02.2016 7:29
b19;19.02.2016 7:56
b20;19.02.2016 8:49
b21;19.02.2016 9:32
b22;19.02.2016 10:15
b23;19.02.2016 11:08
b24;19.02.2016 11:29
b25;19.02.2016 11:51
b26;19.02.2016 12:39
b27;19.02.2016 13:11
b28;19.02.2016 13:48
b29;19.02.2016 14:20
;
;
;tr21
b10;18.02.2016 23:14
b11;19.02.2016 0:12
b12;19.02.2016 0:34
b13;19.02.2016 1:06
b14;19.02.2016 1:38
b15;19.02.2016 2:04
b16;19.02.2016 2:31
b17;19.02.2016 2:58
b18;19.02.2016 3:19
b19;19.02.2016 3:46
;
;
;tr22
b15;18.02.2016 21:38
b16;18.02.2016 22:04
b17;18.02.2016 22:31
b18;18.02.2016 22:52
b19;18.02.2016 23:19
b20;19.02.2016 0:12
b21;19.02.2016 0:55
b22;19.02.2016 1:38
b23;19.02.2016 2:31
b24;19.02.2016 2:52
b25;19.02.2016 3:14
b26;19.02.2016 4:02
b27;19.02.2016 4:34
b28;19.02.2016 5:11
b29;19.02.2016 5:43
;
;
;tr23
c0;19.02.2016 1:38
c1;19.02.2016 2:15
c2;19.02.2016 2:36
c3;19.02.2016 3:14
c4;19.02.2016 3:35
c5;19.02.2016 3:56
c6;19.02.2016 4:23
c7;19.02.2016 5:27
c8;19.02.2016 6:10
c9;19.02.2016 6:31
c10;19.02.2016 6:57
c11;19.02.2016 7:56
c12;19.02.2016 8:44
c13;19.02.2016 9:27
c14;19.02.2016 10:31
;
;
;tr24
c0;18.02.2016 21:38
c1;18.02.2016 22:15
c2;18.02.2016 22:36
c3;18.02.2016 23:14
c4;18.02.2016 23:35
c5;18.02.2016 23:56
c6;19.02.2016 0:23
c7;19.02.2016 1:27
c8;19.02.2016 2:10
c9;19.02.2016 2:31
c10;19.02.2016 2:58
c11;19.02.2016 3:56
c12;19.02.2016 4:44
c13;19.02.2016 5:27
c14;19.02.2016 6:31
c15;19.02.2016 6:52
c16;19.02.2016 7:45
c17;19.02.2016 8:28
c18;19.02.2016 9:00
c19;19.02.2016 9:59
c20;19.02.2016 10:47
c21;19.02.2016 11:08
c22;19.02.2016 11:51
c23;19.02.2016 12:39
c24;19.02.2016 13:16
;
;
;tr25
c20;18.02.2016 22:31
c21;18.02.2016 22:52
c22;18.02.2016 23:35
c23;19.02.2016 0:23
c24;19.02.2016 1:00
;
;
;tr26
d0;18.02.2016 22:58
d1;18.02.2016 23:19
d2;18.02.2016 23:56
d3;19.02.2016 0:55
d4;19.02.2016 1:48
d5;19.02.2016 2:36
d6;19.02.2016 3:19
d7;19.02.2016 4:02
d8;19.02.2016 4:34
d9;19.02.2016 5:11
d10;19.02.2016 6:10
d11;19.02.2016 6:31
d12;19.02.2016 6:52
d13;19.02.2016 7:29
d14;19.02.2016 8:01
d15;19.02.2016 8:23
d16;19.02.2016 9:11
d17;19.02.2016 9:27
d18;19.02.2016 10:25
d19;19.02.2016 11:24
d20;19.02.2016 12:01
d21;19.02.2016 12:39
d22;19.02.2016 13:27
d23;19.02.2016 14:25
d24;19.02.2016 15:03
;
;
;tr27
d20;18.02.2016 20:45
d21;18.02.2016 21:22
d22;18.02.2016 22:10
d23;18.02.2016 23:08
d24;18.02.2016 23:46
d25;19.02.2016 0:50
d26;19.02.2016 1:54
d27;19.02.2016 2:15
d28;19.02.2016 2:58
d29;19.02.2016 3:24
d30;19.02.2016 3:40
d31;19.02.2016 3:56
d32;19.02.2016 5:00
d33;19.02.2016 5:59
d34;19.02.2016 6:15
d35;19.02.2016 7:13
d36;19.02.2016 7:51
d37;19.02.2016 8:49
d38;19.02.2016 9:16
d39;19.02.2016 10:20
d40;19.02.2016 10:36
d41;19.02.2016 10:57
d42;19.02.2016 11:13
d43;19.02.2016 11:56
d44;19.02.2016 12:12
d45;19.02.2016 12:49
d46;19.02.2016 13:11
d47;19.02.2016 13:27
d48;19.02.2016 14:09
d49;19.02.2016 14:36
;
;
;tr28
d0;19.02.2016 0:44
d1;19.02.2016 1:06
d2;19.02.2016 1:43
d3;19.02.2016 2:42
d4;19.02.2016 3:35
d5;19.02.2016 4:23
d6;19.02.2016 5:06
d7;19.02.2016 5:48
d8;19.02.2016 6:20
d9;19.02.2016 6:57
d10;19.02.2016 7:56
d11;19.02.2016 8:17
;
;
;tr29
a0;19.02.2016 14:31
a1;19.02.2016 15:03
a2;19.02.2016 15:50
a3;19.02.2016 16:54
a4;19.02.2016 17:16
a5;19.02.2016 18:14
a6;19.02.2016 18:46
a7;19.02.2016 19:34
a8;19.02.2016 20:06
a9;19.02.2016 21:05
a10;19.02.2016 22:09
b0;19.02.2016 23:08
b1;20.02.2016 0:01
b2;20.02.2016 0:22
b3;20.02.2016 0:59
b4;20.02.2016 1:53
b5;20.02.2016 2:57
b6;20.02.2016 3:23
b7;20.02.2016 3:50
b8;20.02.2016 4:49
b9;20.02.2016 5:31
;
;
;tr3
b0;19.02.2016 7:40
b1;19.02.2016 8:33
b2;19.02.2016 8:55
b3;19.02.2016 9:32
b4;19.02.2016 10:25
b5;19.02.2016 11:29
b6;19.02.2016 11:56
b7;19.02.2016 12:23
b8;19.02.2016 13:21
b9;19.02.2016 14:04
b10;19.02.2016 14:47
b11;19.02.2016 15:45
b12;19.02.2016 16:06
b13;19.02.2016 16:38
b14;19.02.2016 17:10
b15;19.02.2016 17:37
b16;19.02.2016 18:04
b17;19.02.2016 18:30
b18;19.02.2016 18:52
b19;19.02.2016 19:18
b20;19.02.2016 20:12
b21;19.02.2016 20:54
b22;19.02.2016 21:37
b23;19.02.2016 22:30
b24;19.02.2016 22:52
b25;19.02.2016 23:13
b26;20.02.2016 0:01
b27;20.02.2016 0:33
b28;20.02.2016 1:10
b29;20.02.2016 1:42
;
;
;tr30
a0;19.02.2016 11:24
a1;19.02.2016 11:56
a2;19.02.2016 12:44
a3;19.02.2016 13:48
a4;19.02.2016 14:09
a5;19.02.2016 15:08
a6;19.02.2016 15:40
a7;19.02.2016 16:28
a8;19.02.2016 17:00
a9;19.02.2016 17:58
a10;19.02.2016 19:02
a11;19.02.2016 19:29
a12;19.02.2016 20:06
a13;19.02.2016 20:49
a14;19.02.2016 21:10
a15;19.02.2016 21:53
a16;19.02.2016 22:09
a17;19.02.2016 22:41
a18;19.02.2016 23:29
a19;19.02.2016 23:56
a20;20.02.2016 0:43
c0;20.02.2016 1:10
c1;20.02.2016 1:47
c2;20.02.2016 2:09
c3;20.02.2016 2:46
c4;20.02.2016 3:07
c5;20.02.2016 3:29
c6;20.02.2016 3:55
;
;
;tr31
a0;19.02.2016 2:04
a1;19.02.2016 2:36
a2;19.02.2016 3:24
a3;19.02.2016 4:28
a4;19.02.2016 4:50
a5;19.02.2016 5:48
a6;19.02.2016 6:20
a7;19.02.2016 7:08
a8;19.02.2016 7:40
a9;19.02.2016 8:39
a10;19.02.2016 9:43
a11;19.02.2016 10:09
a12;19.02.2016 10:47
a13;19.02.2016 11:29
a14;19.02.2016 11:51
a15;19.02.2016 12:33
a16;19.02.2016 12:49
a17;19.02.2016 13:21
a18;19.02.2016 14:09
a19;19.02.2016 14:36
a20;19.02.2016 15:24
a21;19.02.2016 16:22
a22;19.02.2016 16:54
a23;19.02.2016 17:10
a24;19.02.2016 17:53
a25;19.02.2016 18:20
a26;19.02.2016 18:57
a27;19.02.2016 19:18
a28;19.02.2016 19:34
a29;19.02.2016 20:17
a30;19.02.2016 21:16
a31;19.02.2016 22:04
a32;19.02.2016 22:36
a33;19.02.2016 22:57
a34;20.02.2016 0:01
a35;20.02.2016 0:33
a36;20.02.2016 1:05
a37;20.02.2016 1:58
a38;20.02.2016 2:41
a39;20.02.2016 3:39
a40;20.02.2016 4:01
d0;20.02.2016 4:43
d1;20.02.2016 5:05
d2;20.02.2016 5:42
d3;20.02.2016 6:41
d4;20.02.2016 7:34
d5;20.02.2016 8:22
d6;20.02.2016 9:05
d7;20.02.2016 9:47
d8;20.02.2016 10:19
d9;20.02.2016 10:56
d10;20.02.2016 11:55
d11;20.02.2016 12:16
d12;20.02.2016 12:38
d13;20.02.2016 13:15
d14;20.02.2016 13:47
;
;
;tr32
a0;18.02.2016 22:04
a1;18.02.2016 22:36
a2;18.02.2016 23:24
a3;19.02.2016 0:28
a4;19.02.2016 0:50
a5;19.02.2016 1:48
a6;19.02.2016 2:20
a7;19.02.2016 3:08
a8;19.02.2016 3:40
a9;19.02.2016 4:39
a10;19.02.2016 5:43
a11;19.02.2016 6:10
a12;19.02.2016 6:47
a13;19.02.2016 7:29
a14;19.02.2016 7:51
a15;19.02.2016 8:33
a16;19.02.2016 8:49
a17;19.02.2016 9:21
a18;19.02.2016 10:09
a19;19.02.2016 10:36
a20;19.02.2016 11:24
a21;19.02.2016 12:23
a22;19.02.2016 12:55
a23;19.02.2016 13:11
a24;19.02.2016 13:53
a25;19.02.2016 14:20
a26;19.02.2016 14:57
a27;19.02.2016 15:19
a28;19.02.2016 15:35
a29;19.02.2016 16:17
a30;19.02.2016 17:16
a31;19.02.2016 18:04
a32;19.02.2016 18:36
a33;19.02.2016 18:57
a34;19.02.2016 20:01
a35;19.02.2016 20:33
a36;19.02.2016 21:05
a37;19.02.2016 21:58
a38;19.02.2016 22:41
a39;19.02.2016 23:40
a40;20.02.2016 0:01
a41;20.02.2016 0:22
a42;20.02.2016 1:26
a43;20.02.2016 2:14
a44;20.02.2016 2:30
a45;20.02.2016 3:29
a46;20.02.2016 4:22
a47;20.02.2016 4:59
a48;20.02.2016 5:47
a49;20.02.2016 6:14
a50;20.02.2016 7:13
a51;20.02.2016 7:45
a52;20.02.2016 8:11
a53;20.02.2016 8:27
a54;20.02.2016 8:49
a55;20.02.2016 9:42
a56;20.02.2016 10:14
a57;20.02.2016 11:12
a58;20.02.2016 12:16
a59;20.02.2016 13:04
a60;20.02.2016 13:58
e0;20.02.2016 14:30
e1;20.02.2016 15:34
e2;20.02.2016 16:06
e3;20.02.2016 16:48
e4;20.02.2016 17:15
e5;20.02.2016 18:19
e6;20.02.2016 18:35
e7;20.02.2016 19:23
e8;20.02.2016 20:21
e9;20.02.2016 20:43
;
;
;tr33
b10;19.02.2016 3:24
b9;19.02.2016 4:07
b8;19.02.2016 4:50
b7;19.02.2016 5:48
b6;19.02.2016 6:15
b5;19.02.2016 6:42
b4;19.02.2016 7:45
b3;19.02.2016 8:39
b2;19.02.2016 9:16
b1;19.02.2016 9:37
b0;19.02.2016 10:31
a10;19.02.2016 11:29
a11;19.02.2016 11:56
a12;19.02.2016 12:33
a13;19.02.2016 13:16
a14;19.02.2016 13:37
a15;19.02.2016 14:20
a16;19.02.2016 14:36
a17;19.02.2016 15:08
a18;19.02.2016 15:56
a19;19.02.2016 16:22
a20;19.02.2016 17:10
a21;19.02.2016 18:09
a22;19.02.2016 18:41
a23;19.02.2016 18:57
a24;19.02.2016 19:40
a25;19.02.2016 20:06
a26;19.02.2016 20:44
a27;19.02.2016 21:05
a28;19.02.2016 21:21
a29;19.02.2016 22:04
a30;19.02.2016 23:02
a31;19.02.2016 23:50
a32;20.02.2016 0:22
a33;20.02.2016 0:43
a34;20.02.2016 1:47
a35;20.02.2016 2:19
a36;20.02.2016 2:51
a37;20.02.2016 3:45
a38;20.02.2016 4:27
a39;20.02.2016 5:26
a40;20.02.2016 5:47
d0;20.02.2016 6:30
d1;20.02.2016 6:51
d2;20.02.2016 7:29
d3;20.02.2016 8:27
d4;20.02.2016 9:21
;
;
;tr34
a0;19.02.2016 6:31
a1;19.02.2016 7:03
a2;19.02.2016 7:51
a3;19.02.2016 8:55
a4;19.02.2016 9:16
a5;19.02.2016 10:15
a6;19.02.2016 10:47
a7;19.02.2016 11:35
a8;19.02.2016 12:07
a9;19.02.2016 13:05
a10;19.02.2016 14:09
a11;19.02.2016 14:36
a12;19.02.2016 15:13
a13;19.02.2016 15:56
a14;19.02.2016 16:17
a15;19.02.2016 17:00
a16;19.02.2016 17:16
a17;19.02.2016 17:48
a18;19.02.2016 18:36
a19;19.02.2016 19:02
a20;19.02.2016 19:50
a21;19.02.2016 20:49
a22;19.02.2016 21:21
a23;19.02.2016 21:37
a24;19.02.2016 22:20
a25;19.02.2016 22:46
a26;19.02.2016 23:24
a27;19.02.2016 23:45
a28;20.02.2016 0:01
a29;20.02.2016 0:43
a30;20.02.2016 1:42
a31;20.02.2016 2:30
a32;20.02.2016 3:02
a33;20.02.2016 3:23
a34;20.02.2016 4:27
a35;20.02.2016 4:59
a36;20.02.2016 5:31
a37;20.02.2016 6:25
a38;20.02.2016 7:07
a39;20.02.2016 8:06
;
;
;tr35
a20;18.02.2016 21:11
a21;18.02.2016 22:10
a22;18.02.2016 22:42
a23;18.02.2016 22:58
a24;18.02.2016 23:40
a25;19.02.2016 0:07
a26;19.02.2016 0:44
a27;19.02.2016 1:06
a28;19.02.2016 1:22
a29;19.02.2016 2:04
a30;19.02.2016 3:03
a31;19.02.2016 3:51
a32;19.02.2016 4:23
a33;19.02.2016 4:44
a34;19.02.2016 5:48
a35;19.02.2016 6:20
a36;19.02.2016 6:52
a37;19.02.2016 7:45
a38;19.02.2016 8:28
a39;19.02.2016 9:27
a40;19.02.2016 9:48
a41;19.02.2016 10:09
a42;19.02.2016 11:13
a43;19.02.2016 12:01
a44;19.02.2016 12:17
a45;19.02.2016 13:16
a46;19.02.2016 14:09
a47;19.02.2016 14:47
a48;19.02.2016 15:35
a49;19.02.2016 16:01
;
;
;tr36
a30;18.02.2016 20:45
a31;18.02.2016 21:33
a32;18.02.2016 22:04
a33;18.02.2016 22:26
a34;18.02.2016 23:30
a35;19.02.2016 0:02
a36;19.02.2016 0:34
a37;19.02.2016 1:27
a38;19.02.2016 2:10
a39;19.02.2016 3:08
a40;19.02.2016 3:30
a41;19.02.2016 3:51
a42;19.02.2016 4:55
a43;19.02.2016 5:43
a44;19.02.2016 5:59
a45;19.02.2016 6:57
a46;19.02.2016 7:51
a47;19.02.2016 8:28
a48;19.02.2016 9:16
a49;19.02.2016 9:43
a50;19.02.2016 10:41
a51;19.02.2016 11:13
a52;19.02.2016 11:40
a53;19.02.2016 11:56
a54;19.02.2016 12:17
a55;19.02.2016 13:11
a56;19.02.2016 13:43
a57;19.02.2016 14:41
a58;19.02.2016 15:45
a59;19.02.2016 16:33
a60;19.02.2016 17:26
a61;19.02.2016 17:58
a62;19.02.2016 18:46
a63;19.02.2016 19:34
a64;19.02.2016 20:38
a65;19.02.2016 21:16
a66;19.02.2016 22:04
a67;19.02.2016 22:36
a68;19.02.2016 23:02
a69;19.02.2016 23:29
;
;
;tr37
b0;19.02.2016 6:20
b1;19.02.2016 7:13
b2;19.02.2016 7:35
b3;19.02.2016 8:12
b4;19.02.2016 9:05
b5;19.02.2016 10:09
b6;19.02.2016 10:36
b7;19.02.2016 11:03
b8;19.02.2016 12:01
b9;19.02.2016 12:44
b10;19.02.2016 13:27
b11;19.02.2016 14:25
b12;19.02.2016 14:47
b13;19.02.2016 15:19
b14;19.02.2016 15:50
b15;19.02.2016 16:17
b16;19.02.2016 16:44
b17;19.02.2016 17:10
b18;19.02.2016 17:32
b19;19.02.2016 17:58
b20;19.02.2016 18:52
b21;19.02.2016 19:34
b22;19.02.2016 20:17
b23;19.02.2016 21:10
b24;19.02.2016 21:32
b25;19.02.2016 21:53
b26;19.02.2016 22:41
b27;19.02.2016 23:13
b28;19.02.2016 23:50
b29;20.02.2016 0:22
;
;
;tr38
b10;18.02.2016 22:47
b11;18.02.2016 23:46
b12;19.02.2016 0:07
b13;19.02.2016 0:39
b14;19.02.2016 1:11
b15;19.02.2016 1:38
b16;19.02.2016 2:04
b17;19.02.2016 2:31
b18;19.02.2016 2:52
b19;19.02.2016 3:19
;
;
;tr39
b15;18.02.2016 20:18
b16;18.02.2016 20:45
b17;18.02.2016 21:11
b18;18.02.2016 21:33
b19;18.02.2016 21:59
b20;18.02.2016 22:52
b21;18.02.2016 23:35
b22;19.02.2016 0:18
b23;19.02.2016 1:11
b24;19.02.2016 1:32
b25;19.02.2016 1:54
b26;19.02.2016 2:42
b27;19.02.2016 3:14
b28;19.02.2016 3:51
b29;19.02.2016 4:23
;
;
;tr4
b10;18.02.2016 22:20
b11;18.02.2016 23:19
b12;18.02.2016 23:40
b13;19.02.2016 0:12
b14;19.02.2016 0:44
b15;19.02.2016 1:11
b16;19.02.2016 1:38
b17;19.02.2016 2:04
b18;19.02.2016 2:26
b19;19.02.2016 2:52
;
;
;tr40
c0;18.02.2016 23:24
c1;19.02.2016 0:02
c2;19.02.2016 0:23
c3;19.02.2016 1:00
c4;19.02.2016 1:22
c5;19.02.2016 1:43
c6;19.02.2016 2:10
c7;19.02.2016 3:14
c8;19.02.2016 3:56
c9;19.02.2016 4:18
c10;19.02.2016 4:44
c11;19.02.2016 5:43
c12;19.02.2016 6:31
c13;19.02.2016 7:13
c14;19.02.2016 8:17
;
;
;tr41
c0;18.02.2016 22:31
c1;18.02.2016 23:08
c2;18.02.2016 23:30
c3;19.02.2016 0:07
c4;19.02.2016 0:28
c5;19.02.2016 0:50
c6;19.02.2016 1:16
c7;19.02.2016 2:20
c8;19.02.2016 3:03
c9;19.02.2016 3:24
c10;19.02.2016 3:51
c11;19.02.2016 4:50
c12;19.02.2016 5:38
c13;19.02.2016 6:20
c14;19.02.2016 7:24
c15;19.02.2016 7:45
c16;19.02.2016 8:39
c17;19.02.2016 9:21
c18;19.02.2016 9:53
c19;19.02.2016 10:52
c20;19.02.2016 11:40
c21;19.02.2016 12:01
c22;19.02.2016 12:44
c23;19.02.2016 13:32
c24;19.02.2016 14:09
;
;
;tr42
c20;18.02.2016 20:45
c21;18.02.2016 21:06
c22;18.02.2016 21:49
c23;18.02.2016 22:36
c24;18.02.2016 23:14
;
;
;tr43
d0;18.02.2016 20:18
d1;18.02.2016 20:39
d2;18.02.2016 21:17
d3;18.02.2016 22:15
d4;18.02.2016 23:08
d5;18.02.2016 23:56
d6;19.02.2016 0:39
d7;19.02.2016 1:22
d8;19.02.2016 1:54
d9;19.02.2016 2:31
d10;19.02.2016 3:30
d11;19.02.2016 3:51
d12;19.02.2016 4:12
d13;19.02.2016 4:50
d14;19.02.2016 5:22
d15;19.02.2016 5:43
d16;19.02.2016 6:31
d17;19.02.2016 6:47
d18;19.02.2016 7:45
d19;19.02.2016 8:44
d20;19.02.2016 9:21
d21;19.02.2016 9:59
d22;19.02.2016 10:47
d23;19.02.2016 11:45
d24;19.02.2016 12:23
;
;
;tr44
d20;18.02.2016 22:58
d21;18.02.2016 23:35
d22;19.02.2016 0:23
d23;19.02.2016 1:22
d24;19.02.2016 1:59
d25;19.02.2016 3:03
d26;19.02.2016 4:07
d27;19.02.2016 4:28
d28;19.02.2016 5:11
d29;19.02.2016 5:38
d30;19.02.2016 5:54
d31;19.02.2016 6:10
d32;19.02.2016 7:13
d33;19.02.2016 8:12
d34;19.02.2016 8:28
d35;19.02.2016 9:27
d36;19.02.2016 10:04
d37;19.02.2016 11:03
d38;19.02.2016 11:29
d39;19.02.2016 12:33
d40;19.02.2016 12:49
d41;19.02.2016 13:11
d42;19.02.2016 13:27
d43;19.02.2016 14:09
d44;19.02.2016 14:25
d45;19.02.2016 15:03
d46;19.02.2016 15:24
d47;19.02.2016 15:40
d48;19.02.2016 16:22
d49;19.02.2016 16:49
;
;
;tr45
d0;19.02.2016 2:04
d1;19.02.2016 2:26
d2;19.02.2016 3:03
d3;19.02.2016 4:02
d4;19.02.2016 4:55
d5;19.02.2016 5:43
d6;19.02.2016 6:26
d7;19.02.2016 7:08
d8;19.02.2016 7:40
d9;19.02.2016 8:17
d10;19.02.2016 9:16
d11;19.02.2016 9:37
;
;
;tr46
a0;19.02.2016 14:57
a1;19.02.2016 15:29
a2;19.02.2016 16:17
a3;19.02.2016 17:21
a4;19.02.2016 17:42
a5;19.02.2016 18:41
a6;19.02.2016 19:13
a7;19.02.2016 20:01
a8;19.02.2016 20:33
a9;19.02.2016 21:32
a10;19.02.2016 22:36
b0;19.02.2016 23:34
b1;20.02.2016 0:28
b2;20.02.2016 0:49
b3;20.02.2016 1:26
b4;20.02.2016 2:19
b5;20.02.2016 3:23
b6;20.02.2016 3:50
b7;20.02.2016 4:17
b8;20.02.2016 5:15
b9;20.02.2016 5:58
;
;
;tr47
a0;19.02.2016 11:51
a1;19.02.2016 12:23
a2;19.02.2016 13:11
a3;19.02.2016 14:15
a4;19.02.2016 14:36
a5;19.02.2016 15:35
a6;19.02.2016 16:06
a7;19.02.2016 16:54
a8;19.02.2016 17:26
a9;19.02.2016 18:25
a10;19.02.2016 19:29
a11;19.02.2016 19:56
a12;19.02.2016 20:33
a13;19.02.2016 21:16
a14;19.02.2016 21:37
a15;19.02.2016 22:20
a16;19.02.2016 22:36
a17;19.02.2016 23:08
a18;19.02.2016 23:56
a19;20.02.2016 0:22
a20;20.02.2016 1:10
c0;20.02.2016 1:37
c1;20.02.2016 2:14
c2;20.02.2016 2:35
c3;20.02.2016 3:13
c4;20.02.2016 3:34
c5;20.02.2016 3:55
c6;20.02.2016 4:22
;
;
;tr48
a0;19.02.2016 0:18
a1;19.02.2016 0:50
a2;19.02.2016 1:38
a3;19.02.2016 2:42
a4;19.02.2016 3:03
a5;19.02.2016 4:02
a6;19.02.2016 4:34
a7;19.02.2016 5:22
a8;19.02.2016 5:54
a9;19.02.2016 6:52
a10;19.02.2016 7:56
a11;19.02.2016 8:23
a12;19.02.2016 9:00
a13;19.02.2016 9:43
a14;19.02.2016 10:04
a15;19.02.2016 10:47
a16;19.02.2016 11:03
a17;19.02.2016 11:35
a18;19.02.2016 12:23
a19;19.02.2016 12:49
a20;19.02.2016 13:37
a21;19.02.2016 14:36
a22;19.02.2016 15:08
a23;19.02.2016 15:24
a24;19.02.2016 16:06
a25;19.02.2016 16:33
a26;19.02.2016 17:10
a27;19.02.2016 17:32
a28;19.02.2016 17:48
a29;19.02.2016 18:30
a30;19.02.2016 19:29
a31;19.02.2016 20:17
a32;19.02.2016 20:49
a33;19.02.2016 21:10
a34;19.02.2016 22:14
a35;19.02.2016 22:46
a36;19.02.2016 23:18
a37;20.02.2016 0:12
a38;20.02.2016 0:54
a39;20.02.2016 1:53
a40;20.02.2016 2:14
d0;20.02.2016 2:57
d1;20.02.2016 3:18
d2;20.02.2016 3:55
d3;20.02.2016 4:54
d4;20.02.2016 5:47
d5;20.02.2016 6:35
d6;20.02.2016 7:18
d7;20.02.2016 8:01
d8;20.02.2016 8:33
d9;20.02.2016 9:10
d10;20.02.2016 10:08
d11;20.02.2016 10:30
d12;20.02.2016 10:51
d13;20.02.2016 11:28
d14;20.02.2016 12:00
;
;
;tr49
