;tr0
a25;19.02.2016 21:00
a26;19.02.2016 21:37
a27;19.02.2016 21:58
a28;19.02.2016 22:14
a29;19.02.2016 22:57
a30;19.02.2016 23:56
a31;20.02.2016 0:43
a32;20.02.2016 1:15
a33;20.02.2016 1:37
a34;20.02.2016 2:41
a35;20.02.2016 3:13
a36;20.02.2016 3:45
a37;20.02.2016 4:38
a38;20.02.2016 5:21
a39;20.02.2016 6:19
a40;20.02.2016 6:41
d0;20.02.2016 7:23
d1;20.02.2016 7:45
d2;20.02.2016 8:22
d3;20.02.2016 9:21
d4;20.02.2016 10:14
;
;
;tr102
a0;19.02.2016 5:38
a1;19.02.2016 6:10
a2;19.02.2016 6:57
a3;19.02.2016 8:01
a4;19.02.2016 8:23
a5;19.02.2016 9:21
a6;19.02.2016 9:53
a7;19.02.2016 10:41
a8;19.02.2016 11:13
a9;19.02.2016 12:12
a10;19.02.2016 13:16
a11;19.02.2016 13:43
a12;19.02.2016 14:20
a13;19.02.2016 15:03
a14;19.02.2016 15:24
a15;19.02.2016 16:06
a16;19.02.2016 16:22
a17;19.02.2016 16:54
a18;19.02.2016 17:42
a19;19.02.2016 18:09
a20;19.02.2016 18:57
a21;19.02.2016 19:56
a22;19.02.2016 20:28
a23;19.02.2016 20:44
a24;19.02.2016 21:26
a25;19.02.2016 21:53
a26;19.02.2016 22:30
a27;19.02.2016 22:52
a28;19.02.2016 23:08
a29;19.02.2016 23:50
a30;20.02.2016 0:49
a31;20.02.2016 1:37
a32;20.02.2016 2:09
a33;20.02.2016 2:30
a34;20.02.2016 3:34
a35;20.02.2016 4:06
a36;20.02.2016 4:38
a37;20.02.2016 5:31
a38;20.02.2016 6:14
a39;20.02.2016 7:13
;
;
;tr103
a20;18.02.2016 22:04
a21;18.02.2016 23:03
a22;18.02.2016 23:35
a23;18.02.2016 23:51
a24;19.02.2016 0:34
a25;19.02.2016 1:00
a26;19.02.2016 1:38
a27;19.02.2016 1:59
a28;19.02.2016 2:15
a29;19.02.2016 2:58
a30;19.02.2016 3:56
a31;19.02.2016 4:44
a32;19.02.2016 5:16
a33;19.02.2016 5:38
a34;19.02.2016 6:42
a35;19.02.2016 7:13
a36;19.02.2016 7:45
a37;19.02.2016 8:39
a38;19.02.2016 9:21
a39;19.02.2016 10:20
a40;19.02.2016 10:41
a41;19.02.2016 11:03
a42;19.02.2016 12:07
a43;19.02.2016 12:55
a44;19.02.2016 13:11
a45;19.02.2016 14:09
a46;19.02.2016 15:03
a47;19.02.2016 15:40
a48;19.02.2016 16:28
a49;19.02.2016 16:54
;
;
;tr104
a30;18.02.2016 22:04
a31;18.02.2016 22:52
a32;18.02.2016 23:24
a33;18.02.2016 23:46
a34;19.02.2016 0:50
a35;19.02.2016 1:22
a36;19.02.2016 1:54
a37;19.02.2016 2:47
a38;19.02.2016 3:30
a39;19.02.2016 4:28
a40;19.02.2016 4:50
a41;19.02.2016 5:11
a42;19.02.2016 6:15
a43;19.02.2016 7:03
a44;19.02.2016 7:19
a45;19.02.2016 8:17
a46;19.02.2016 9:11
a47;19.02.2016 9:48
a48;19.02.2016 10:36
a49;19.02.2016 11:03
a50;19.02.2016 12:01
a51;19.02.2016 12:33
a52;19.02.2016 13:00
a53;19.02.2016 13:16
a54;19.02.2016 13:37
a55;19.02.2016 14:31
a56;19.02.2016 15:03
a57;19.02.2016 16:01
a58;19.02.2016 17:05
a59;19.02.2016 17:53
a60;19.02.2016 18:46
a61;19.02.2016 19:18
a62;19.02.2016 20:06
a63;19.02.2016 20:54
a64;19.02.2016 21:58
a65;19.02.2016 22:36
a66;19.02.2016 23:24
a67;19.02.2016 23:56
a68;20.02.2016 0:22
a69;20.02.2016 0:49
;
;
;tr105
b0;19.02.2016 7:13
b1;19.02.2016 8:07
b2;19.02.2016 8:28
b3;19.02.2016 9:05
b4;19.02.2016 9:59
b5;19.02.2016 11:03
b6;19.02.2016 11:29
b7;19.02.2016 11:56
b8;19.02.2016 12:55
b9;19.02.2016 13:37
b10;19.02.2016 14:20
b11;19.02.2016 15:19
b12;19.02.2016 15:40
b13;19.02.2016 16:12
b14;19.02.2016 16:44
b15;19.02.2016 17:10
b16;19.02.2016 17:37
b17;19.02.2016 18:04
b18;19.02.2016 18:25
b19;19.02.2016 18:52
b20;19.02.2016 19:45
b21;19.02.2016 20:28
b22;19.02.2016 21:10
b23;19.02.2016 22:04
b24;19.02.2016 22:25
b25;19.02.2016 22:46
b26;19.02.2016 23:34
b27;20.02.2016 0:06
b28;20.02.2016 0:43
b29;20.02.2016 1:15
;
;
;tr106
b10;18.02.2016 21:54
b11;18.02.2016 22:52
b12;18.02.2016 23:14
b13;18.02.2016 23:46
b14;19.02.2016 0:18
b15;19.02.2016 0:44
b16;19.02.2016 1:11
b17;19.02.2016 1:38
b18;19.02.2016 1:59
b19;19.02.2016 2:26
;
;
;tr107
b15;18.02.2016 20:45
b16;18.02.2016 21:11
b17;18.02.2016 21:38
b18;18.02.2016 21:59
b19;18.02.2016 22:26
b20;18.02.2016 23:19
b21;19.02.2016 0:02
b22;19.02.2016 0:44
b23;19.02.2016 1:38
b24;19.02.2016 1:59
b25;19.02.2016 2:20
b26;19.02.2016 3:08
b27;19.02.2016 3:40
b28;19.02.2016 4:18
b29;19.02.2016 4:50
;
;
;tr108
c0;18.02.2016 23:51
c1;19.02.2016 0:28
c2;19.02.2016 0:50
c3;19.02.2016 1:27
c4;19.02.2016 1:48
c5;19.02.2016 2:10
c6;19.02.2016 2:36
c7;19.02.2016 3:40
c8;19.02.2016 4:23
c9;19.02.2016 4:44
c10;19.02.2016 5:11
c11;19.02.2016 6:10
c12;19.02.2016 6:57
c13;19.02.2016 7:40
c14;19.02.2016 8:44
;
;
;tr109
c0;18.02.2016 20:45
c1;18.02.2016 21:22
c2;18.02.2016 21:43
c3;18.02.2016 22:20
c4;18.02.2016 22:42
c5;18.02.2016 23:03
c6;18.02.2016 23:30
c7;19.02.2016 0:34
c8;19.02.2016 1:16
c9;19.02.2016 1:38
c10;19.02.2016 2:04
c11;19.02.2016 3:03
c12;19.02.2016 3:51
c13;19.02.2016 4:34
c14;19.02.2016 5:38
c15;19.02.2016 5:59
c16;19.02.2016 6:52
c17;19.02.2016 7:35
c18;19.02.2016 8:07
c19;19.02.2016 9:05
c20;19.02.2016 9:53
c21;19.02.2016 10:15
c22;19.02.2016 10:57
c23;19.02.2016 11:45
c24;19.02.2016 12:23
;
;
;tr11
d0;18.02.2016 23:24
d1;18.02.2016 23:46
d2;19.02.2016 0:23
d3;19.02.2016 1:22
d4;19.02.2016 2:15
d5;19.02.2016 3:03
d6;19.02.2016 3:46
d7;19.02.2016 4:28
d8;19.02.2016 5:00
d9;19.02.2016 5:38
d10;19.02.2016 6:36
d11;19.02.2016 6:57
;
;
;tr110
c20;18.02.2016 20:18
c21;18.02.2016 20:39
c22;18.02.2016 21:22
c23;18.02.2016 22:10
c24;18.02.2016 22:47
;
;
;tr111
d0;18.02.2016 21:11
d1;18.02.2016 21:33
d2;18.02.2016 22:10
d3;18.02.2016 23:08
d4;19.02.2016 0:02
d5;19.02.2016 0:50
d6;19.02.2016 1:32
d7;19.02.2016 2:15
d8;19.02.2016 2:47
d9;19.02.2016 3:24
d10;19.02.2016 4:23
d11;19.02.2016 4:44
d12;19.02.2016 5:06
d13;19.02.2016 5:43
d14;19.02.2016 6:15
d15;19.02.2016 6:36
d16;19.02.2016 7:24
d17;19.02.2016 7:40
d18;19.02.2016 8:39
d19;19.02.2016 9:37
d20;19.02.2016 10:15
d21;19.02.2016 10:52
d22;19.02.2016 11:40
d23;19.02.2016 12:39
d24;19.02.2016 13:16
;
;
;tr112
d20;18.02.2016 21:11
d21;18.02.2016 21:49
d22;18.02.2016 22:36
d23;18.02.2016 23:35
d24;19.02.2016 0:12
d25;19.02.2016 1:16
d26;19.02.2016 2:20
d27;19.02.2016 2:42
d28;19.02.2016 3:24
d29;19.02.2016 3:51
d30;19.02.2016 4:07
d31;19.02.2016 4:23
d32;19.02.2016 5:27
d33;19.02.2016 6:26
d34;19.02.2016 6:42
d35;19.02.2016 7:40
d36;19.02.2016 8:17
d37;19.02.2016 9:16
d38;19.02.2016 9:43
d39;19.02.2016 10:47
d40;19.02.2016 11:03
d41;19.02.2016 11:24
d42;19.02.2016 11:40
d43;19.02.2016 12:23
d44;19.02.2016 12:39
d45;19.02.2016 13:16
d46;19.02.2016 13:37
d47;19.02.2016 13:53
d48;19.02.2016 14:36
d49;19.02.2016 15:03
;
;
;tr113
d0;19.02.2016 0:18
d1;19.02.2016 0:39
d2;19.02.2016 1:16
d3;19.02.2016 2:15
d4;19.02.2016 3:08
d5;19.02.2016 3:56
d6;19.02.2016 4:39
d7;19.02.2016 5:22
d8;19.02.2016 5:54
d9;19.02.2016 6:31
d10;19.02.2016 7:29
d11;19.02.2016 7:51
;
;
;tr114
a0;19.02.2016 13:11
a1;19.02.2016 13:43
a2;19.02.2016 14:31
a3;19.02.2016 15:35
a4;19.02.2016 15:56
a5;19.02.2016 16:54
a6;19.02.2016 17:26
a7;19.02.2016 18:14
a8;19.02.2016 18:46
a9;19.02.2016 19:45
a10;19.02.2016 20:49
b0;19.02.2016 21:48
b1;19.02.2016 22:41
b2;19.02.2016 23:02
b3;19.02.2016 23:40
b4;20.02.2016 0:33
b5;20.02.2016 1:37
b6;20.02.2016 2:03
b7;20.02.2016 2:30
b8;20.02.2016 3:29
b9;20.02.2016 4:11
;
;
;tr115
a0;19.02.2016 10:57
a1;19.02.2016 11:29
a2;19.02.2016 12:17
a3;19.02.2016 13:21
a4;19.02.2016 13:43
a5;19.02.2016 14:41
a6;19.02.2016 15:13
a7;19.02.2016 16:01
a8;19.02.2016 16:33
a9;19.02.2016 17:32
a10;19.02.2016 18:36
a11;19.02.2016 19:02
a12;19.02.2016 19:40
a13;19.02.2016 20:22
a14;19.02.2016 20:44
a15;19.02.2016 21:26
a16;19.02.2016 21:42
a17;19.02.2016 22:14
a18;19.02.2016 23:02
a19;19.02.2016 23:29
a20;20.02.2016 0:17
c0;20.02.2016 0:43
c1;20.02.2016 1:21
c2;20.02.2016 1:42
c3;20.02.2016 2:19
c4;20.02.2016 2:41
c5;20.02.2016 3:02
c6;20.02.2016 3:29
;
;
;tr116
a0;18.02.2016 23:24
a1;18.02.2016 23:56
a2;19.02.2016 0:44
a3;19.02.2016 1:48
a4;19.02.2016 2:10
a5;19.02.2016 3:08
a6;19.02.2016 3:40
a7;19.02.2016 4:28
a8;19.02.2016 5:00
a9;19.02.2016 5:59
a10;19.02.2016 7:03
a11;19.02.2016 7:29
