;tr0
a0;19:51 18.02
a1;20:50 18.02
a2;21:06 18.02
a3;22:10 18.02
a4;23:08 18.02
a5;23:30 18.02
a6;00:34 19.02
a7;01:32 19.02
a8;02:15 19.02
a9;03:03 19.02
a10;03:46 19.02
a11;04:39 19.02
a12;05:38 19.02
a13;06:20 19.02
a14;06:57 19.02
a15;07:19 19.02
a16;08:23 19.02
a17;08:39 19.02
a18;09:05 19.02
a19;09:48 19.02
a20;10:25 19.02
a21;11:19 19.02
a22;11:51 19.02
a23;12:44 19.02
a24;13:48 19.02
a25;14:31 19.02
a26;14:47 19.02
a27;15:08 19.02
a28;15:50 19.02
a29;16:54 19.02
a30;17:53 19.02
a31;18:46 19.02
a32;19:08 19.02
a33;20:12 19.02
a34;20:28 19.02
a35;21:05 19.02
a36;21:32 19.02
a37;21:53 19.02
a38;22:30 19.02
a39;23:13 19.02


;tr1
a20;19:25 18.02
a21;20:18 18.02
a22;20:50 18.02
a23;21:43 18.02
a24;22:47 18.02
a25;23:30 18.02
a26;23:46 18.02
a27;00:07 19.02
a28;00:50 19.02
a29;01:54 19.02
a30;02:52 19.02
a31;03:46 19.02
a32;04:07 19.02
a33;05:11 19.02
a34;05:27 19.02
a35;06:04 19.02
a36;06:31 19.02
a37;06:52 19.02
a38;07:29 19.02
a39;08:12 19.02
a40;09:05 19.02
a41;09:21 19.02
a42;09:48 19.02
a43;10:04 19.02
a44;11:03 19.02
a45;11:45 19.02
a46;12:12 19.02
a47;12:44 19.02
a48;13:48 19.02
a49;14:09 19.02


;tr10
d20;19:25 18.02
d21;19:57 18.02
d22;20:39 18.02
d23;21:27 18.02
d24;22:10 18.02
d25;22:47 18.02
d26;23:51 18.02
d27;00:55 19.02
d28;01:11 19.02
d29;01:27 19.02
d30;02:15 19.02
d31;02:52 19.02
d32;03:51 19.02
d33;04:34 19.02
d34;04:50 19.02
d35;05:32 19.02
d36;06:31 19.02
d37;07:13 19.02
d38;08:01 19.02
d39;08:44 19.02
d40;09:37 19.02
d41;10:20 19.02
d42;10:57 19.02
d43;11:29 19.02
d44;12:23 19.02
d45;13:00 19.02
d46;13:59 19.02
d47;14:31 19.02
d48;15:08 19.02
d49;15:29 19.02


;tr11
d0;19:25 18.02
d1;20:18 18.02
d2;20:50 18.02
d3;21:17 18.02
d4;21:48 18.02
d5;22:31 18.02
d6;22:52 18.02
d7;23:30 18.02
d8;00:12 19.02
d9;01:06 19.02
d10;01:48 19.02
d11;02:42 19.02


;tr12
a0;20:45 18.02
a1;21:43 18.02
a2;21:59 18.02
a3;23:03 18.02
a4;00:02 19.02
a5;00:23 19.02
a6;01:27 19.02
a7;02:26 19.02
a8;03:08 19.02
a9;03:56 19.02
a10;04:39 19.02
b0;05:22 19.02
b1;06:10 19.02
b2;06:57 19.02
b3;07:24 19.02
b4;07:51 19.02
b5;08:55 19.02
b6;09:53 19.02
b7;10:25 19.02
b8;11:24 19.02
b9;12:17 19.02


;tr13
a0;20:18 18.02
a1;21:17 18.02
a2;21:32 18.02
a3;22:36 18.02
a4;23:35 18.02
a5;23:56 18.02
a6;01:00 19.02
a7;01:59 19.02
a8;02:42 19.02
a9;03:30 19.02
a10;04:12 19.02
a11;05:06 19.02
a12;06:04 19.02
a13;06:47 19.02
a14;07:24 19.02
a15;07:45 19.02
a16;08:49 19.02
a17;09:05 19.02
a18;09:32 19.02
a19;10:15 19.02
a20;10:52 19.02
c0;11:45 19.02
c1;12:39 19.02
c2;13:05 19.02
c3;13:59 19.02
c4;14:52 19.02
c5;15:24 19.02
c6;16:01 19.02


;tr14
a0;19:25 18.02
a1;20:23 18.02
a2;20:39 18.02
a3;21:43 18.02
a4;22:42 18.02
a5;23:03 18.02
a6;00:07 19.02
a7;01:06 19.02
a8;01:48 19.02
a9;02:36 19.02
a10;03:19 19.02
a11;04:12 19.02
a12;05:11 19.02
a13;05:54 19.02
a14;06:31 19.02
a15;06:52 19.02
a16;07:56 19.02
a17;08:12 19.02
a18;08:39 19.02
a19;09:21 19.02
a20;09:59 19.02
a21;10:52 19.02
a22;11:24 19.02
a23;12:17 19.02
a24;13:21 19.02
a25;14:04 19.02
a26;14:20 19.02
a27;14:41 19.02
a28;15:24 19.02
a29;16:28 19.02
a30;17:26 19.02
a31;18:20 19.02
a32;18:41 19.02
a33;19:45 19.02
a34;20:01 19.02
a35;20:38 19.02
a36;21:05 19.02
a37;21:26 19.02
a38;22:04 19.02
a39;22:46 19.02
a40;23:40 19.02
d0;00:43 20.02
d1;01:37 20.02
d2;02:09 20.02
d3;02:35 20.02
d4;03:07 20.02
d5;03:50 20.02
d6;04:11 20.02
d7;04:49 20.02
d8;05:31 20.02
d9;06:25 20.02
d10;07:07 20.02
d11;08:01 20.02
d12;08:33 20.02
d13;09:04 20.02
d14;09:47 20.02


;tr2
a30;19:25 18.02
a31;20:18 18.02
a32;20:39 18.02
a33;21:43 18.02
a34;21:59 18.02
a35;22:36 18.02
a36;23:03 18.02
a37;23:24 18.02
a38;00:02 19.02
a39;00:44 19.02
a40;01:38 19.02
a41;01:54 19.02
a42;02:20 19.02
a43;02:36 19.02
a44;03:35 19.02
a45;04:18 19.02
a46;04:44 19.02
a47;05:16 19.02
a48;06:20 19.02
a49;06:41 19.02
a50;07:19 19.02
a51;08:01 19.02
a52;08:23 19.02
a53;09:21 19.02
a54;10:20 19.02
a55;11:03 19.02
a56;11:19 19.02
a57;11:40 19.02
a58;12:01 19.02
a59;12:55 19.02
a60;13:37 19.02
a61;14:31 19.02
a62;15:34 19.02
a63;15:56 19.02
a64;16:44 19.02
a65;17:10 19.02
a66;18:14 19.02
a67;18:46 19.02
a68;19:18 19.02
a69;20:12 19.02


;tr3
b0;19:25 18.02
b1;20:13 18.02
b2;21:01 18.02
b3;21:27 18.02
b4;21:54 18.02
b5;22:58 18.02
b6;23:56 18.02
b7;00:28 19.02
b8;01:27 19.02
b9;02:20 19.02
b10;02:36 19.02
b11;03:03 19.02
b12;03:46 19.02
b13;04:50 19.02
b14;05:22 19.02
b15;05:54 19.02
b16;06:10 19.02
b17;06:57 19.02
b18;07:13 19.02
b19;08:01 19.02
b20;08:49 19.02
b21;09:32 19.02
b22;09:59 19.02
b23;10:15 19.02
b24;10:31 19.02
b25;11:13 19.02
b26;12:17 19.02
b27;12:39 19.02
b28;13:37 19.02
b29;13:59 19.02


;tr4
b10;19:25 18.02
b11;19:51 18.02
b12;20:34 18.02
b13;21:38 18.02
b14;22:10 18.02
b15;22:42 18.02
b16;22:58 18.02
b17;23:46 18.02
b18;00:02 19.02
b19;00:50 19.02


;tr5
b15;19:25 18.02
b16;19:41 18.02
b17;20:29 18.02
b18;20:45 18.02
b19;21:32 18.02
b20;22:20 18.02
b21;23:03 18.02
b22;23:30 18.02
b23;23:46 18.02
b24;00:02 19.02
b25;00:44 19.02
b26;01:48 19.02
b27;02:10 19.02
b28;03:08 19.02
b29;03:30 19.02


;tr6
c0;19:25 18.02
c1;20:18 18.02
c2;20:45 18.02
c3;21:38 18.02
c4;22:31 18.02
c5;23:03 18.02
c6;23:40 18.02
c7;00:39 19.02
c8;01:27 19.02
c9;02:26 19.02
c10;03:14 19.02
c11;04:02 19.02
c12;04:28 19.02
c13;05:06 19.02
c14;05:48 19.02


;tr7
c0;19:51 18.02
c1;20:45 18.02
c2;21:11 18.02
c3;22:04 18.02
c4;22:58 18.02
c5;23:30 18.02
c6;00:07 19.02
c7;01:06 19.02
c8;01:54 19.02
c9;02:52 19.02
c10;03:40 19.02
c11;04:28 19.02
c12;04:55 19.02
c13;05:32 19.02
c14;06:15 19.02
c15;07:08 19.02
c16;07:56 19.02
c17;08:33 19.02
c18;08:55 19.02
c19;09:32 19.02
c20;10:15 19.02
c21;10:36 19.02
c22;10:52 19.02
c23;11:29 19.02
c24;12:28 19.02


;tr8
c20;19:25 18.02
c21;19:46 18.02
c22;20:02 18.02
c23;20:39 18.02
c24;21:38 18.02


;tr9
d0;19:51 18.02
d1;20:45 18.02
d2;21:17 18.02
d3;21:43 18.02
d4;22:15 18.02
d5;22:58 18.02
d6;23:19 18.02
d7;23:56 18.02
d8;00:39 19.02
d9;01:32 19.02
d10;02:15 19.02
d11;03:08 19.02
d12;03:40 19.02
d13;04:12 19.02
d14;04:55 19.02
d15;05:27 19.02
d16;06:10 19.02
d17;06:25 19.02
d18;07:24 19.02
d19;07:40 19.02
d20;08:28 19.02
d21;09:00 19.02
