;tr0
a0;01:41 19.02
a1;02:29 19.02
a2;02:45 19.02
a3;03:33 19.02
a4;04:10 19.02
a5;05:04 19.02
a6;05:52 19.02
a7;06:24 19.02
a8;06:55 19.02
a9;07:59 19.02


;tr1
a10;19:23 18.02
a11;20:05 18.02
a12;21:09 18.02
a13;21:41 18.02
a14;22:02 18.02
a15;23:06 18.02
a16;23:54 18.02
a17;00:48 19.02
a18;01:52 19.02
a19;02:13 19.02


;tr10
d17;20:16 18.02
d16;20:32 18.02
d15;21:09 18.02
d14;22:08 18.02
d13;22:50 18.02
d12;23:12 18.02
d11;00:10 19.02
d10;00:42 19.02
d9;01:30 19.02
d8;02:08 19.02
d7;02:45 19.02
d6;03:06 19.02


;tr11
d8;19:49 18.02
d7;20:27 18.02
d6;20:48 18.02
d5;21:36 18.02
d4;22:18 18.02
d3;22:45 18.02
d2;23:22 18.02
d1;00:00 19.02


;tr12
a0;02:34 19.02
a1;03:22 19.02
a2;03:38 19.02
a3;04:26 19.02
a4;05:04 19.02
a5;05:57 19.02
b0;06:18 19.02
b1;06:45 19.02


;tr13
a0;22:29 18.02
a1;23:17 18.02
a2;23:33 18.02
a3;00:21 19.02
a4;00:58 19.02
a5;01:52 19.02
a6;02:40 19.02
a7;03:12 19.02
a8;03:44 19.02
a9;04:48 19.02
a10;05:41 19.02
c0;06:24 19.02
c1;07:06 19.02
c2;07:27 19.02
c3;07:54 19.02
c4;08:15 19.02
c5;09:09 19.02
c6;09:46 19.02


;tr14
a0;21:09 18.02
a1;21:57 18.02
a2;22:13 18.02
a3;23:01 18.02
a4;23:38 18.02
a5;00:32 19.02
a6;01:20 19.02
a7;01:52 19.02
a8;02:24 19.02
a9;03:28 19.02
a10;04:21 19.02
a11;05:04 19.02
a12;06:08 19.02
a13;06:40 19.02
a14;07:01 19.02
a15;08:05 19.02
d0;08:21 19.02
d1;08:58 19.02
d2;09:35 19.02
d3;10:13 19.02
d4;10:39 19.02


;tr15
a0;19:49 18.02
a1;20:37 18.02
a2;20:53 18.02
a3;21:41 18.02
a4;22:18 18.02
a5;23:12 18.02
a6;00:00 19.02
a7;00:32 19.02
a8;01:04 19.02
a9;02:08 19.02
a10;03:01 19.02
a11;03:44 19.02
a12;04:48 19.02
a13;05:20 19.02
a14;05:41 19.02
a15;06:45 19.02
a16;07:33 19.02
a17;08:26 19.02
a18;09:30 19.02
a19;09:51 19.02
a20;10:55 19.02
e0;11:43 19.02
e1;11:59 19.02
e2;12:53 19.02
e3;13:09 19.02
e4;13:30 19.02
e5;14:18 19.02
e6;15:17 19.02
e7;16:04 19.02
e8;16:42 19.02
e9;17:24 19.02


;tr16
b3;19:49 18.02
b2;20:53 18.02
b1;21:15 18.02
b0;21:41 18.02
a5;22:02 18.02
a6;22:50 18.02
a7;23:22 18.02
a8;23:54 18.02
a9;00:58 19.02
a10;01:52 19.02
a11;02:34 19.02
a12;03:38 19.02
a13;04:10 19.02
a14;04:32 19.02
a15;05:36 19.02
d0;05:52 19.02
d1;06:29 19.02

