;tr0
a0;20:32 18.02
a1;20:58 18.02
a2;21:46 18.02
a3;22:34 18.02
a4;23:01 18.02
a5;23:33 18.02
a6;00:16 19.02
a7;01:04 19.02
a8;01:25 19.02
a9;01:46 19.02


;tr1
a10;19:12 18.02
a11;20:11 18.02
a12;20:53 18.02
a13;21:41 18.02
a14;22:02 18.02
a15;22:18 18.02
a16;23:06 18.02
a17;00:05 19.02
a18;00:48 19.02
a19;01:30 19.02


;tr10
d17;19:12 18.02
d16;19:44 18.02
d15;20:05 18.02
d14;20:37 18.02
d13;21:09 18.02
d12;22:08 18.02
d11;22:50 18.02
d10;23:28 18.02
d9;23:44 18.02
d8;00:00 19.02
d7;00:48 19.02
d6;01:36 19.02


;tr11
d8;19:12 18.02
d7;20:00 18.02
d6;20:48 18.02
d5;21:04 18.02
d4;22:08 18.02
d3;22:34 18.02
d2;23:12 18.02
d1;23:38 18.02


;tr12
a0;20:05 18.02
a1;20:32 18.02
a2;21:20 18.02
a3;22:08 18.02
a4;22:34 18.02
a5;23:06 18.02
b0;23:49 18.02
b1;00:53 19.02


;tr13
a0;19:39 18.02
a1;20:05 18.02
a2;20:53 18.02
a3;21:41 18.02
a4;22:08 18.02
a5;22:40 18.02
a6;23:22 18.02
a7;00:10 19.02
a8;00:32 19.02
a9;00:53 19.02
a10;01:09 19.02
c0;01:57 19.02
c1;02:45 19.02
c2;03:01 19.02
c3;04:00 19.02
c4;04:26 19.02
c5;04:48 19.02
c6;05:30 19.02


;tr14
a0;19:12 18.02
a1;19:39 18.02
a2;20:26 18.02
a3;21:14 18.02
a4;21:41 18.02
a5;22:13 18.02
a6;22:56 18.02
a7;23:44 18.02
a8;00:05 19.02
a9;00:26 19.02
a10;00:42 19.02
a11;01:41 19.02
a12;02:24 19.02
a13;03:12 19.02
a14;03:33 19.02
a15;03:49 19.02
d0;04:26 19.02
d1;04:58 19.02
d2;05:25 19.02
d3;06:02 19.02
d4;06:29 19.02


;tr2
a7;19:12 18.02
a8;19:33 18.02
a9;19:55 18.02
a10;20:11 18.02
a11;21:09 18.02
a12;21:52 18.02


;tr3
b0;19:39 18.02
b1;20:42 18.02
b2;21:30 18.02
b3;21:52 18.02
b4;22:24 18.02
b5;23:22 18.02
b6;00:26 19.02


;tr4
b0;19:12 18.02
b1;20:16 18.02
b2;21:04 18.02
b3;21:25 18.02
b4;21:57 18.02
b5;22:56 18.02
b6;00:00 19.02
b7;00:26 19.02
b8;01:04 19.02


;tr5
b2;19:12 18.02
b3;19:33 18.02
b4;20:05 18.02
b5;21:04 18.02
b6;22:08 18.02
b7;22:34 18.02


;tr6
c2;19:12 18.02
c3;20:11 18.02
c4;20:37 18.02
c5;20:58 18.02
c6;21:41 18.02
c7;22:02 18.02
c8;22:45 18.02
c9;23:22 18.02


;tr7
c1;20:32 18.02
c2;20:48 18.02
c3;21:46 18.02
c4;22:13 18.02


;tr8
c8;19:12 18.02
c7;19:55 18.02
c6;20:16 18.02
c5;20:58 18.02
c4;21:20 18.02
c3;21:46 18.02


;tr9
d6;19:12 18.02
d7;20:00 18.02
d8;20:48 18.02
d9;21:04 18.02
d10;21:20 18.02
d11;21:57 18.02
d12;22:40 18.02
