;tr0
a0;21:00 18.02
a1;21:37 18.02
a2;22:20 18.02
a3;23:08 18.02
a4;23:45 18.02
a5;00:49 19.02
a6;01:21 19.02
a7;01:58 19.02
a8;02:20 19.02
a9;02:51 19.02


;tr1
a10;19:40 18.02
a11;19:56 18.02
a12;20:28 18.02
a13;21:00 18.02
a14;21:21 18.02
a15;21:58 18.02
a16;22:14 18.02
a17;22:30 18.02
a18;23:18 18.02
a19;00:22 19.02


;tr10
d17;19:40 18.02
d16;20:33 18.02
d15;20:49 18.02
d14;21:26 18.02
d13;22:30 18.02
d12;23:24 18.02
d11;23:56 18.02
d10;00:22 19.02
d9;00:54 19.02
d8;01:26 19.02
d7;01:48 19.02
d6;02:51 19.02


;tr11
d8;19:40 18.02
d7;20:01 18.02
d6;21:05 18.02
d5;21:58 18.02
d4;22:46 18.02
d3;23:50 18.02
d2;00:28 19.02
d1;01:21 19.02


;tr12
a0;21:26 18.02
a1;22:04 18.02
a2;22:46 18.02
a3;23:34 18.02
a4;00:12 19.02
a5;01:16 19.02
b0;01:53 19.02
b1;02:09 19.02


;tr13
a0;20:06 18.02
a1;20:44 18.02
a2;21:26 18.02
a3;22:14 18.02
a4;22:52 18.02
a5;23:56 18.02
a6;00:28 19.02
a7;01:05 19.02
a8;01:26 19.02
a9;01:58 19.02
a10;03:02 19.02
c0;03:34 19.02
c1;04:01 19.02
c2;04:22 19.02
c3;05:26 19.02
c4;06:25 19.02
c5;07:02 19.02
c6;07:29 19.02


;tr14
a0;19:40 18.02
a1;20:17 18.02
a2;21:00 18.02
a3;21:48 18.02
a4;22:25 18.02
a5;23:29 18.02
a6;00:01 19.02
a7;00:38 19.02
a8;01:00 19.02
a9;01:32 19.02
a10;02:35 19.02
a11;02:51 19.02
a12;03:23 19.02
a13;03:55 19.02
a14;04:17 19.02
a15;04:54 19.02
d0;05:10 19.02
d1;05:31 19.02
d2;06:25 19.02
d3;07:02 19.02
d4;08:06 19.02


;tr15
a0;19:13 18.02
a1;19:50 18.02
a2;20:33 18.02
a3;21:21 18.02
a4;21:58 18.02
a5;23:02 18.02
a6;23:34 18.02
a7;00:12 19.02
a8;00:33 19.02
a9;01:05 19.02
a10;02:09 19.02
a11;02:25 19.02
a12;02:57 19.02
a13;03:29 19.02
a14;03:50 19.02
a15;04:27 19.02
a16;04:43 19.02
a17;04:59 19.02
a18;05:47 19.02
a19;06:51 19.02
a20;07:34 19.02
e0;07:55 19.02
e1;08:59 19.02
e2;09:47 19.02
e3;10:25 19.02
e4;11:13 19.02
e5;12:00 19.02
e6;12:32 19.02
e7;13:15 19.02
e8;14:08 19.02
e9;14:24 19.02


;tr16
b3;19:13 18.02
b2;19:40 18.02
b1;20:28 18.02
b0;20:44 18.02
a5;21:21 18.02
a6;21:53 18.02
a7;22:30 18.02
a8;22:52 18.02
a9;23:24 18.02
a10;00:28 19.02
a11;00:44 19.02
a12;01:16 19.02
a13;01:48 19.02
a14;02:09 19.02
a15;02:46 19.02
d0;03:02 19.02
d1;03:23 19.02


;tr17
a0;20:33 18.02
a1;21:10 18.02
a2;21:53 18.02
a3;22:41 18.02
a4;23:18 18.02
a5;00:22 19.02
a6;00:54 19.02
a7;01:32 19.02
a8;01:53 19.02
a9;02:25 19.02


;tr18
a10;19:13 18.02
a11;19:29 18.02
a12;20:01 18.02
a13;20:33 18.02
a14;20:54 18.02
a15;21:32 18.02
a16;21:48 18.02
a17;22:04 18.02
a18;22:52 18.02
a19;23:56 18.02


;tr19
a7;19:13 18.02
a8;19:34 18.02
a9;20:06 18.02
a10;21:10 18.02
a11;21:26 18.02
a12;21:58 18.02


;tr2
a7;19:40 18.02
a8;20:01 18.02
a9;20:33 18.02
a10;21:37 18.02
a11;21:53 18.02
a12;22:25 18.02


;tr20
b0;20:33 18.02
b1;20:49 18.02
b2;21:37 18.02
b3;22:04 18.02
b4;22:41 18.02
b5;23:45 18.02
b6;00:28 19.02


;tr21
b0;19:13 18.02
b1;19:29 18.02
b2;20:17 18.02
b3;20:44 18.02
b4;21:21 18.02
b5;22:25 18.02
b6;23:08 18.02
b7;00:12 19.02
b8;01:05 19.02


;tr22
b2;19:13 18.02
b3;19:40 18.02
b4;20:17 18.02
b5;21:21 18.02
b6;22:04 18.02
b7;23:08 18.02


;tr23
c2;19:13 18.02
c3;20:17 18.02
c4;21:16 18.02
c5;21:53 18.02
c6;22:20 18.02
c7;22:52 18.02
c8;23:40 18.02
c9;00:38 19.02


;tr24
c1;20:01 18.02
c2;20:22 18.02
c3;21:26 18.02
c4;22:25 18.02


;tr25
c8;19:40 18.02
c7;20:28 18.02
c6;21:00 18.02
c5;21:26 18.02
c4;22:04 18.02
c3;23:02 18.02


;tr26
d6;19:13 18.02
d7;20:17 18.02
d8;20:38 18.02
d9;21:10 18.02
d10;21:42 18.02
d11;22:09 18.02
d12;22:41 18.02


;tr27
d17;19:13 18.02
d16;20:06 18.02
d15;20:22 18.02
d14;21:00 18.02
d13;22:04 18.02
d12;22:57 18.02
d11;23:29 18.02
d10;23:56 18.02
d9;00:28 19.02
d8;01:00 19.02
d7;01:21 19.02
d6;02:25 19.02


;tr28
d8;19:13 18.02
d7;19:34 18.02
d6;20:38 18.02
d5;21:32 18.02
d4;22:20 18.02
d3;23:24 18.02
d2;00:01 19.02
d1;00:54 19.02


;tr29
a0;21:53 18.02
a1;22:30 18.02
a2;23:13 18.02
a3;00:01 19.02
a4;00:38 19.02
a5;01:42 19.02
b0;02:20 19.02
b1;02:35 19.02


;tr3
b0;20:06 18.02
b1;20:22 18.02
b2;21:10 18.02
b3;21:37 18.02
b4;22:14 18.02
b5;23:18 18.02
b6;00:01 19.02


;tr4
b0;19:40 18.02
b1;19:56 18.02
b2;20:44 18.02
b3;21:10 18.02
b4;21:48 18.02
b5;22:52 18.02
b6;23:34 18.02
b7;00:38 19.02
b8;01:32 19.02


;tr5
b2;19:40 18.02
b3;20:06 18.02
b4;20:44 18.02
b5;21:48 18.02
b6;22:30 18.02
b7;23:34 18.02


;tr6
c2;19:40 18.02
c3;20:44 18.02
c4;21:42 18.02
c5;22:20 18.02
c6;22:46 18.02
c7;23:18 18.02
c8;00:06 19.02
c9;01:05 19.02


;tr7
c1;20:38 18.02
c2;21:00 18.02
c3;22:04 18.02
c4;23:02 18.02


;tr8
c8;19:13 18.02
c7;20:01 18.02
c6;20:33 18.02
c5;21:00 18.02
c4;21:37 18.02
c3;22:36 18.02


;tr9
d6;19:40 18.02
d7;20:44 18.02
d8;21:05 18.02
d9;21:37 18.02
d10;22:09 18.02
d11;22:36 18.02
d12;23:08 18.02
