;tr0
a0;20:05 18.02
a1;20:31 18.02
a2;20:58 18.02
a3;21:25 18.02
a4;22:18 18.02
a5;23:06 18.02
a6;23:54 18.02
a7;00:47 19.02
a8;01:03 19.02
a9;01:35 19.02


;tr1
a10;19:12 18.02
a11;20:05 18.02
a12;20:42 18.02
a13;21:25 18.02
a14;22:13 18.02
a15;23:11 18.02
a16;23:49 18.02
a17;00:10 19.02
a18;01:09 19.02
a19;01:41 19.02


;tr10
d17;19:12 18.02
d16;20:16 18.02
d15;20:31 18.02
d14;21:35 18.02
d13;22:29 18.02
d12;22:50 18.02
d11;23:43 18.02
d10;00:15 19.02
d9;01:19 19.02
d8;01:51 19.02
d7;02:55 19.02
d6;03:43 19.02


;tr11
d8;19:12 18.02
d7;20:16 18.02
d6;21:03 18.02
d5;21:46 18.02
d4;22:50 18.02
d3;23:22 18.02
d2;00:10 19.02
d1;00:31 19.02


;tr12
a0;20:31 18.02
a1;20:58 18.02
a2;21:25 18.02
a3;21:51 18.02
a4;22:45 18.02
a5;23:33 18.02
b0;00:37 19.02
b1;00:58 19.02


;tr13
a0;19:38 18.02
a1;20:05 18.02
a2;20:31 18.02
a3;20:58 18.02
a4;21:51 18.02
a5;22:39 18.02
a6;23:27 18.02
a7;00:21 19.02
a8;00:37 19.02
a9;01:09 19.02
a10;01:57 19.02
c0;02:23 19.02
c1;03:11 19.02
c2;03:27 19.02
c3;03:59 19.02
c4;05:03 19.02
c5;06:02 19.02
c6;06:34 19.02


;tr14
a0;19:12 18.02
a1;19:38 18.02
a2;20:05 18.02
a3;20:31 18.02
a4;21:25 18.02
a5;22:13 18.02
a6;23:01 18.02
a7;23:54 18.02
a8;00:10 19.02
a9;00:42 19.02
a10;01:30 19.02
a11;02:23 19.02
a12;03:01 19.02
a13;03:43 19.02
a14;04:31 19.02
a15;05:30 19.02
d0;06:28 19.02
d1;07:32 19.02
d2;07:54 19.02
d3;08:42 19.02
d4;09:14 19.02


;tr2
a7;19:12 18.02
a8;19:28 18.02
a9;20:00 18.02
a10;20:47 18.02
a11;21:41 18.02
a12;22:18 18.02


;tr3
b0;19:38 18.02
b1;20:00 18.02
b2;20:21 18.02
b3;21:25 18.02
b4;21:46 18.02
b5;22:23 18.02
b6;23:27 18.02


;tr4
b0;19:12 18.02
b1;19:33 18.02
b2;19:54 18.02
b3;20:58 18.02
b4;21:19 18.02
b5;21:57 18.02
b6;23:01 18.02
b7;23:49 18.02
b8;00:26 19.02


;tr5
b2;19:12 18.02
b3;20:16 18.02
b4;20:37 18.02
b5;21:14 18.02
b6;22:18 18.02
b7;23:06 18.02


;tr6
c2;19:12 18.02
c3;19:44 18.02
c4;20:47 18.02
c5;21:46 18.02
c6;22:18 18.02
c7;23:17 18.02
c8;23:43 18.02
c9;00:31 19.02


;tr7
c1;19:54 18.02
c2;20:10 18.02
c3;20:42 18.02
c4;21:46 18.02


;tr8
c8;19:12 18.02
c7;19:38 18.02
c6;20:37 18.02
c5;21:09 18.02
c4;22:07 18.02
c3;23:11 18.02


;tr9
d6;19:12 18.02
d7;20:00 18.02
d8;21:03 18.02
d9;21:35 18.02
d10;22:39 18.02
d11;23:11 18.02
d12;00:05 19.02
